!	 EXCLAMATION MARK
#	 NUMBER SIGN
&	 AMPERSAND
h	 LATIN SMALL LETTER H
hʼ	 LATIN SMALL LETTER H + MODIFIER LETTER APOSTROPHE
h̄	 LATIN SMALL LETTER H + COMBINING MACRON
hᶜ	 LATIN SMALL LETTER H + MODIFIER LETTER SMALL C
hᶜᵉ	 LATIN SMALL LETTER H + MODIFIER LETTER SMALL C + MODIFIER LETTER SMALL E
hꝰ	 LATIN SMALL LETTER H + MODIFIER LETTER US
i	 LATIN SMALL LETTER I
iꝰ	 LATIN SMALL LETTER I + MODIFIER LETTER US
j	 LATIN SMALL LETTER J
k	 LATIN SMALL LETTER K
k̄	 LATIN SMALL LETTER K + COMBINING MACRON
l	 LATIN SMALL LETTER L
lʳ	 LATIN SMALL LETTER L + MODIFIER LETTER SMALL R
lʳᵒ	 LATIN SMALL LETTER L + MODIFIER LETTER SMALL R + MODIFIER LETTER SMALL O
lʼ	 LATIN SMALL LETTER L + MODIFIER LETTER APOSTROPHE
lʼʼ	 LATIN SMALL LETTER L + MODIFIER LETTER APOSTROPHE + MODIFIER LETTER APOSTROPHE
l̄	 LATIN SMALL LETTER L + COMBINING MACRON
l̗	 LATIN SMALL LETTER L + COMBINING ACUTE ACCENT BELOW
lꝰ	 LATIN SMALL LETTER L + MODIFIER LETTER US
m	 LATIN SMALL LETTER M
m̄	 LATIN SMALL LETTER M + COMBINING MACRON
mꝰ	 LATIN SMALL LETTER M + MODIFIER LETTER US
n	 LATIN SMALL LETTER N
n̄	 LATIN SMALL LETTER N + COMBINING MACRON
n̈	 LATIN SMALL LETTER N + COMBINING DIAERESIS
n̋	 LATIN SMALL LETTER N + COMBINING DOUBLE ACUTE ACCENT
nͤ	 LATIN SMALL LETTER N + COMBINING LATIN SMALL LETTER E
nᵇ	 LATIN SMALL LETTER N + MODIFIER LETTER SMALL B
nᵇᵃ	 LATIN SMALL LETTER N + MODIFIER LETTER SMALL B + MODIFIER LETTER SMALL A
nᵏ	 LATIN SMALL LETTER N + MODIFIER LETTER SMALL K
nᵐ	 LATIN SMALL LETTER N + MODIFIER LETTER SMALL M
nᵐᵃ	 LATIN SMALL LETTER N + MODIFIER LETTER SMALL M + MODIFIER LETTER SMALL A
