				15.század	16.század 	17.század
				
összes szó:		166173		2041142		188944
imp.	vala	1711 		15054 		1169 
imp. 	volt	0			53			1
perf. 	vala	508			3678		268
perf. 	volt	9			378			27
!discr. vala	2665		24919		1742
!discr. volt	171			1789		305
discr. 	vala	524			6930		371
discr. 	volt	176			1519		307
					
