⁊	⁊	⁊c,⁊c,⁊c,⁊c,⁊c,⁊cKewethkezyk,⁊c,⁊ctWala,⁊ctMykoron,⁊cMyker,⁊c
h̄	h	ih̄sTe,Ih̄ūs,Ih̄ūsnak,Ih̄ūsnak,Ih̄ūs,Ih̄ūsth,Ih̄ūsxp̄ūs,VrāIh̄ūs,Ih̄ūs,Ih̄ūs,Ih̄ūs
hʼ	h	Mathʼas,zilettethʼni,dy̋chʼeseghes,walamaghzathʼa,bochʼata,belchʼ,belchʼeseghebelvagy̋on,belchʼesegh,mutachʼa,aristotilesbelchʼes,Tanachʼot
Ï	i	gon-dolassarolÏgen,ko̗wetko̗zÿk{112r}Ïdwez
ï	i	ïdwezlegÿ,bezedïmethChodaseÿchad,Bet-ſaïdából,mennyeïe-ket,Samariaïakkal.[[10]]Felele,juhaïért.[[12]]A',Romaïak,,Ga-lilæaïak-e,,Krétaïak,és,Arábiaïak:hallottuk,ifiaï-tok
î	i	îlete,Azonkîppen̄,îrt,îrāſāt,îria,îlʼ,mî-zuel,tîghedet,fedelît,buͤnît,îſʒik
ī	i	mīden,mīdvelagot,mīdmeg,mīdo̗n,mīdelfutanac,mīketmeg,mīdmeg,xp̄īna,xp̄īna,xp̄īna,xp̄īna
ỉ	ri	maỉa,Mảtỉrol,mảtỉnak,Maỉalazaar,maỉaTeremtewnknek,maỉaAlazatossagnak,maỉaZyzeknek,maỉa,maỉa,maỉaMynden,maỉa
k̄	k	iromk̄k̄,iromk̄k̄,K̄ek̄mint,fictiokk̄mért
K̄	K	K̄ek̄mint
ᵏ	k	leanᵏ,mōdaᵏ
l̄	l	Capitvl̄,Capltul̄,Capitul̄,Capitul̄,Capitul̄,Evangl̄,Capitul̄,mondaal̄l̄a,mondaal̄l̄a,isrl̄{127}{64r}az,isrel̄t
l̗	l	fol̗ÿre
lʼʼ	l	melʼʼ,olʼʼ,olʼʼ,melʼʼ,olʼʼ,:melʼʼ,Melʼʼ,melʼʼ,olʼʼ,melʼʼ,melʼʼ
Lʼ	L	MELLʼEKET,MELLʼET,MELLʼET,MELLʼET,MELLʼ,OLLʼAN
lʼ	l	melʼto̗keelleto̗s,elʼ,ilʼ,keralʼa,o̗lʼed,emlekezielʼ,zolgalʼon,ilʼen,ilʼ,ńilʼvan,valʼon
ˡ	l	volʳᵒˡharmad
m̄	m	kapitlm̄Az,evangm̄,Evangm̄,Evangem̄,Evangm̄zent,Evanm̄,kapitlm̄·Az,Capm̄,Capm̄,Evangm̄,Evangm̄
ᵐ	m	Mateᵐ,EwanᵐᵃEz,ewanᵐ,Ewanᵐ{112b}[A]Z,Ewanᵐ{113b}[K]Ezdethben,ewaᵐ,ewanᵐ,EwangeᵐAZ,ewanᵐ{129b}Az,EwaᵐᵃEZ,/EwanᵐAZ
ń	n	ko̗ńo̗rólvin,bizońo̗itac,moisesto̗rveńenec,ńomac,meńńet,meńńet,ńomdeka,ko̗ńńen,ko̗ńńen,meńńeknec,meńńeknec
